%,,,,,,,,,,,
M1_atom_number,M2_atom_number,M3_atom_number,Support_ID,M1_mol%,M2_mol%,M3_mol%,Temp,Ar_flow,CH4_flow,O2_flow,CH4_conv
42,11,74,11,40,40,20,800,3,11.3,5.7,37.73
25,11,74,12,40,40,20,850,10.5,3.4,1.1,30.37
25,11,74,3,40,40,20,900,8,10.3,1.7,11.29
25,11,74,8,40,40,20,775,2.3,9.6,3.2,22.9
58,11,74,11,40,40,20,900,7,2.6,0.4,15.37
25,30,42,11,40,40,20,750,2.3,10.9,1.8,9.19
0,0,0,5,0,0,0,800,4,4.5,1.5,22.44
23,11,74,11,40,40,20,775,3,13.6,3.4,12.85
0,11,0,11,0,100,0,850,10.5,3,1.5,29.84
63,11,74,11,40,40,20,750,10.5,3.4,1.1,9.63
0,0,0,3,0,0,0,775,7,2.6,0.4,8.66
26,11,74,11,40,40,20,700,2.3,10.9,1.8,1.99
25,12,74,11,40,40,20,750,7,2.3,0.8,19.94
23,11,74,11,40,40,20,750,7,2,1,15.29
25,0,74,11,67,0,33,850,8,9.6,2.4,17.61
0,0,74,11,0,0,100,700,3,11.3,5.7,7.84
25,11,74,3,40,40,20,750,14,4,2,38.34
25,11,74,4,40,40,20,750,8,8,4,23.67
22,11,74,11,40,40,20,775,8,9,3,20.96
23,11,74,11,40,40,20,800,6,6,3,30.88
0,0,0,13,0,0,0,900,1.5,6.8,1.7,11.81
25,30,42,11,40,40,20,700,1.5,7.3,1.2,3.08
25,11,74,10,40,40,20,750,6,6.8,2.3,24.89
0,0,0,5,0,0,0,775,1.5,5.7,2.8,31.17
0,0,0,9,0,0,0,700,10.5,3,1.5,2.04
25,11,74,5,40,40,20,750,10.5,3,1.5,24.47
25,11,74,3,40,40,20,900,10.5,3.9,0.6,13.55
25,20,74,11,40,40,20,775,14,4.5,1.5,10.81
25,11,74,14,40,40,20,900,1.5,6.8,1.7,18.61
25,11,74,8,40,40,20,750,2.3,10.2,2.6,14.41
25,12,74,11,40,40,20,750,8,9,3,23.12
25,3,42,11,40,40,20,850,4,4.5,1.5,19.79
25,11,74,10,40,40,20,775,7,2.3,0.8,27.72
25,0,74,11,67,0,33,900,1.5,6.4,2.1,26.37
57,11,74,11,40,40,20,750,3,13.6,3.4,8.46
0,0,0,6,0,0,0,900,2.3,9.6,3.2,20.23
0,0,0,13,0,0,0,700,6,6.8,2.3,9.61
0,0,0,10,0,0,0,775,6,6.8,2.3,18.71
30,11,74,11,40,40,20,800,7,2.4,0.6,22.1
0,0,0,6,0,0,0,700,8,10.3,1.7,0.99
22,11,74,11,40,40,20,900,7,2.6,0.4,15.36
25,19,74,11,40,40,20,850,4,4.5,1.5,25.57
65,11,74,11,40,40,20,775,4,4,2,29.68
25,19,42,11,40,40,20,850,6,7.2,1.8,18.98
0,0,74,11,0,0,100,775,10.5,3.6,0.9,5.35
25,3,74,11,40,40,20,775,3,11.3,5.7,34.92
25,11,74,6,40,40,20,750,10.5,3,1.5,38.76
