M1_atom_number,Temp,CH4_flow,O2_flow,CH4_conv
25,900,5.7,2.8,36.28
25,900,8.5,4.3,37.04
25,900,11.3,5.7,26.83
25,900,6.4,2.1,24.47
25,900,9.6,3.2,24.03
25,900,12.8,4.3,18.85
25,900,6.8,1.7,18.44
25,900,10.2,2.6,26.01
25,900,13.6,3.4,13.63
25,900,7.3,1.2,18.4
25,900,10.9,1.8,11.86
25,900,14.6,2.4,37.22
25,900,4.0,2.0,37.29
25,900,6.0,3.0,38.05
25,900,8.0,4.0,27.41
25,900,4.5,1.5,27.28
25,900,6.8,2.3,26.98
25,900,9.0,3.0,20.95
25,900,4.8,1.2,20.64
25,900,7.2,1.8,20.88
25,900,9.6,2.4,14.1
25,900,5.1,0.9,13.5
25,900,7.7,1.3,14.1
25,900,10.3,1.7,42.41
25,900,2.0,1.0,44.15
25,900,3.0,1.5,42.12
25,900,4.0,2.0,30.4
25,900,2.3,0.8,29.85
25,900,3.4,1.1,30.09
25,900,4.5,1.5,25.63
25,900,2.4,0.6,25.18
25,900,3.6,0.9,24.48
25,900,4.8,1.2,17.5
25,900,2.6,0.4,14.52
25,900,3.9,0.6,16.94
25,900,5.1,0.9,34.52
25,850,5.7,2.8,35.03
25,850,8.5,4.3,35.11
25,850,11.3,5.7,26.07
25,850,6.4,2.1,23.68
25,850,9.6,3.2,20.97
25,850,12.8,4.3,18.07
25,850,6.8,1.7,16.01
25,850,10.2,2.6,16.46
25,850,13.6,3.4,12.33
25,850,7.3,1.2,10.86
25,850,10.9,1.8,11.94
25,850,14.6,2.4,34.0
25,850,4.0,2.0,35.15
25,850,6.0,3.0,35.29
25,850,8.0,4.0,24.37
25,850,4.5,1.5,24.0
25,850,6.8,2.3,24.92
25,850,9.0,3.0,18.16
25,850,4.8,1.2,17.58
25,850,7.2,1.8,18.96
25,850,9.6,2.4,13.54
25,850,5.1,0.9,11.87
25,850,7.7,1.3,11.89
25,850,10.3,1.7,39.02
25,850,2.0,1.0,40.95
25,850,3.0,1.5,40.57
25,850,4.0,2.0,29.69
25,850,2.3,0.8,27.54
25,850,3.4,1.1,28.38
25,850,4.5,1.5,22.82
25,850,2.4,0.6,21.91
25,850,3.6,0.9,22.16
25,850,4.8,1.2,16.1
25,850,2.6,0.4,13.98
25,850,3.9,0.6,12.24
25,850,5.1,0.9,28.17
25,800,5.7,2.8,32.93
25,800,8.5,4.3,34.7
25,800,11.3,5.7,23.51
25,800,6.4,2.1,21.76
25,800,9.6,3.2,20.77
25,800,12.8,4.3,17.49
25,800,6.8,1.7,24.08
25,800,10.2,2.6,14.26
25,800,13.6,3.4,10.23
25,800,7.3,1.2,17.6
25,800,10.9,1.8,17.56
25,800,14.6,2.4,32.96
25,800,4.0,2.0,33.18
25,800,6.0,3.0,35.53
25,800,8.0,4.0,27.13
25,800,4.5,1.5,24.62
25,800,6.8,2.3,25.97
25,800,9.0,3.0,20.21
25,800,4.8,1.2,18.55
25,800,7.2,1.8,19.35
25,800,9.6,2.4,12.35
25,800,5.1,0.9,11.41
25,800,7.7,1.3,12.35
25,800,10.3,1.7,37.21
25,800,2.0,1.0,37.74
25,800,3.0,1.5,38.18
25,800,4.0,2.0,26.34
25,800,2.3,0.8,26.15
25,800,3.4,1.1,25.71
25,800,4.5,1.5,20.74
25,800,2.4,0.6,18.2
25,800,3.6,0.9,18.37
25,800,4.8,1.2,10.11
25,800,2.6,0.4,9.02
25,800,3.9,0.6,9.46
25,800,5.1,0.9,28.53
25,775,5.7,2.8,34.37
25,775,8.5,4.3,34.73
25,775,11.3,5.7,25.69
25,775,6.4,2.1,22.69
25,775,9.6,3.2,24.07
25,775,12.8,4.3,18.82
25,775,6.8,1.7,17.36
25,775,10.2,2.6,17.81
