%,,,,,,,
Ni loading %,Other metal Loading%,Atomic number,Electronegativity (EN),Reaction temperature C,Surface area (m2 g-1),Pore size (nm),CH4 conversion
3,3,19,0.82,750,112.3,4.72,51
3,3,56,0.89,750,137.6,3.4,65
3,3,20,1,750,107.6,3.87,45
10,3,57,1.1,700,118.2,2.8,31
3,3,57,1.1,750,129.9,3.5,72
10,3,58,1.12,700,148.11,2.5,65
10,4.8,58,1.12,750,47,12.2,65
3,3,58,1.12,750,130.7,3.91,71
10,9.6,58,1.12,750,59,11.8,81
10,14.4,58,1.12,750,49,20.1,82
10,3,62,1.17,700,30.09,16.24,62
5,3,64,1.2,800,696.1,4,70
5,1,64,1.2,800,657.2,4,80
5,0.1,64,1.2,800,633.2,4.1,82
20,0.6,39,1.22,700,122,10,66
20,0.2,39,1.22,700,131,10,75
10,3,39,1.22,700,169.11,2.8,74
20,0.4,39,1.22,700,126,10,81
5,3,12,1.31,750,56,30,41.8
20,0.5,40,1.33,700,150,11,82
3,3,25,1.55,750,135.5,3.47,64
10,10,25,1.55,700,103,1.6,98
3,0.25,49,1.78,650,121,6.1,25
3,0.25,49,1.78,650,181,5.1,28
1.06,1.51,27,1.88,700,38.1,6,30
8.14,16.34,27,1.88,650,73.3,6.6,45
2.8,2.8,27,1.88,700,48,10,60
12.21,12.25,27,1.88,650,72.9,7.5,55
5,10,27,1.88,700,86.93,11.21,67
2.4,2.4,27,1.88,700,46,10,72
5,5,27,1.88,700,11,3.1,79
3,3,27,1.88,750,148.5,3.2,81
6.1,9.3,27,1.88,750,54,10.4,91.4
5.3,5.2,27,1.88,750,197.4,7.1,90
8.9,1.1,27,1.88,800,316,0.72,86
3.75,3.75,27,1.88,800,105,25,98
3,0,28,1.91,650,129,5.5,40
3,0,28,1.91,650,174,5.3,42
10,0,28,1.91,700,76.08,11.14,50
10,0,28,1.91,700,230.5,3.1,60
10,0,28,1.91,750,40,10.1,70
5,0,28,1.91,800,614.9,4.1,60.3
20,0,28,1.91,700,120,19,65
5,0,28,1.91,700,178,0.56,82.4
5,0,28,1.91,700,156.7,0.49,84
5,0,28,1.91,700,14.6,0.09,81.3
5,0,28,1.91,700,138.9,0.44,82.8
10,0,28,1.91,700,113,1.9,82
5,0,28,1.91,700,181.3,0.69,80.7
22.96,0.005,46,2.2,650,514.7,2.239,36.1
5,1.25,46,2.2,700,290.3,9.11,66
6,0.5,46,2.2,750,282,8.42,86
5,1,44,2.2,750,9.5,54.7,93
5,1,44,2.2,750,80.7,14.9,93
5,1,44,2.2,750,120.8,18.5,94
1.25,4.75,45,2.28,700,43.8,5.4,83
5,0.3,78,2.28,700,51.4,19,75
5,0.1,78,2.28,700,55.5,22,80
12,1,78,2.28,800,188.93,4.71,88
